order_date,year,mm,week_day,register_pre_1d,register_pre_2d,register_pre_3d,register_pre_4d,register_pre_5d,register_pre_6d,register_pre_7d,active_cnt_1d,active_cnt_2d,active_cnt_3d,active_cnt_4d,active_cnt_5d,active_cnt_6d,active_cnt_7d,orders_cnt,orders_amt,if_holiday
20150101,2015,1,5,23815,19949,13744,10502,17422,16448,14733,13927,12129,11855,12474,1981520,1980257,1979343,2162,891330.81,1
20150102,2015,1,5,15152,23815,19949,13744,10502,17422,16448,16632,13927,12129,11855,12474,1981520,1980257,1404,513517.77,1
20150103,2015,1,5,20537,15152,23815,19949,13744,10502,17422,16045,16632,13927,12129,11855,12474,1981520,620,286987.34,1
20150104,2015,1,0,15941,20537,15152,23815,19949,13744,10502,14388,16045,16632,13927,12129,11855,12474,433,489479.63,0
20150105,2015,1,1,19715,15941,20537,15152,23815,19949,13744,10493,14388,16045,16632,13927,12129,11855,404,489475.43,0
20150106,2015,1,2,12261,19715,15941,20537,15152,23815,19949,9432,10493,14388,16045,16632,13927,12129,426,899068.12,0
20150107,2015,1,3,13923,12261,19715,15941,20537,15152,23815,8974,9432,10493,14388,16045,16632,13927,478,625031.84,0
20150108,2015,1,4,15339,13923,12261,19715,15941,20537,15152,11613,8974,9432,10493,14388,16045,16632,573,703503.02,0
20150109,2015,1,5,14092,15339,13923,12261,19715,15941,20537,93337,11613,8974,9432,10493,14388,16045,843,754827.12,0
20150110,2015,1,6,14165,14092,15339,13923,12261,19715,15941,92076,93337,11613,8974,9432,10493,14388,751,449821.09,0
20150111,2015,1,0,13941,14165,14092,15339,13923,12261,19715,90286,92076,93337,11613,8974,9432,10493,466,299876.94,0
20150112,2015,1,1,296503,13941,14165,14092,15339,13923,12261,39830,90286,92076,93337,11613,8974,9432,476,769869.47,0
20150113,2015,1,2,385103,296503,13941,14165,14092,15339,13923,277222,39830,90286,92076,93337,11613,8974,497,687749.39,0
20150114,2015,1,3,471292,385103,296503,13941,14165,14092,15339,363995,277222,39830,90286,92076,93337,11613,623,912277.84,0
20150115,2015,1,4,222993,471292,385103,296503,13941,14165,14092,449531,363995,277222,39830,90286,92076,93337,614,708108.92,0
20150116,2015,1,5,135394,222993,471292,385103,296503,13941,14165,204751,449531,363995,277222,39830,90286,92076,973,915531.14,0
20150117,2015,1,6,143821,135394,222993,471292,385103,296503,13941,117861,204751,449531,363995,277222,39830,90286,890,493234.45,0
20150118,2015,1,0,110150,143821,135394,222993,471292,385103,296503,99258,117861,204751,449531,363995,277222,39830,562,351256.2,0
20150119,2015,1,1,108608,110150,143821,135394,222993,471292,385103,98663,99258,117861,204751,449531,363995,277222,709,691972.42,0
20150120,2015,1,2,13497,108608,110150,143821,135394,222993,471292,97858,98663,99258,117861,204751,449531,363995,784,813725.59,0
20150121,2015,1,3,14078,13497,108608,110150,143821,135394,222993,8393,97858,98663,99258,117861,204751,449531,809,841571.39,0
20150122,2015,1,4,14763,14078,13497,108608,110150,143821,135394,11041,8393,97858,98663,99258,117861,204751,1021,905129.09,0
20150123,2015,1,5,15466,14763,14078,13497,108608,110150,143821,10041,11041,8393,97858,98663,99258,117861,1403,989735.37,0
20150124,2015,1,6,16005,15466,14763,14078,13497,108608,110150,10380,10041,11041,8393,97858,98663,99258,1226,656375.65,0
20150125,2015,1,0,16067,16005,15466,14763,14078,13497,108608,8635,10380,10041,11041,8393,97858,98663,734,455690.1,0
20150126,2015,1,1,15101,16067,16005,15466,14763,14078,13497,10217,8635,10380,10041,11041,8393,97858,821,657139.17,0
20150127,2015,1,2,14530,15101,16067,16005,15466,14763,14078,9244,10217,8635,10380,10041,11041,8393,937,735956.87,0
20150128,2015,1,3,14557,14530,15101,16067,16005,15466,14763,9246,9244,10217,8635,10380,10041,11041,861,838602.3,0
20150129,2015,1,4,15741,14557,14530,15101,16067,16005,15466,9686,9246,9244,10217,8635,10380,10041,1025,1010509.7,0
20150130,2015,1,5,16729,15741,14557,14530,15101,16067,16005,10824,9686,9246,9244,10217,8635,10380,1451,1115182.7,0
20150131,2015,1,6,16478,16729,15741,14557,14530,15101,16067,11241,10824,9686,9246,9244,10217,8635,1187,671387.55,0
20150201,2015,2,0,15470,16478,16729,15741,14557,14530,15101,11289,11241,10824,9686,9246,9244,10217,980,566407.11,0
20150202,2015,2,1,13926,15470,16478,16729,15741,14557,14530,10423,11289,11241,10824,9686,9246,9244,1232,908678.91,0
20150203,2015,2,2,10187,13926,15470,16478,16729,15741,14557,11384,10423,11289,11241,10824,9686,9246,1459,1002344.96,0
20150204,2015,2,3,15766,10187,13926,15470,16478,16729,15741,12062,11384,10423,11289,11241,10824,9686,1685,1146353.21,0
20150205,2015,2,4,18176,15766,10187,13926,15470,16478,16729,10039,12062,11384,10423,11289,11241,10824,1717,972177.98,0
20150206,2015,2,5,24201,18176,15766,10187,13926,15470,16478,14252,10039,12062,11384,10423,11289,11241,2036,1115799.6,0
20150207,2015,2,6,21637,24201,18176,15766,10187,13926,15470,16461,14252,10039,12062,11384,10423,11289,1661,773305.54,0
20150208,2015,2,0,21371,21637,24201,18176,15766,10187,13926,17913,16461,14252,10039,12062,11384,10423,1223,645576.15,0
20150209,2015,2,1,19446,21371,21637,24201,18176,15766,10187,12708,17913,16461,14252,10039,12062,11384,1523,1125105.76,0
20150210,2015,2,2,19031,19446,21371,21637,24201,18176,15766,12501,12708,17913,16461,14252,10039,12062,1544,977888.49,0
20150211,2015,2,3,17749,19031,19446,21371,21637,24201,18176,11976,12501,12708,17913,16461,14252,10039,1697,1021634.5,0
20150212,2015,2,4,19890,17749,19031,19446,21371,21637,24201,14408,11976,12501,12708,17913,16461,14252,2237,1466878.18,0
20150213,2015,2,5,19894,19890,17749,19031,19446,21371,21637,10603,14408,11976,12501,12708,17913,16461,2829,1309665.83,0
20150214,2015,2,6,21092,19894,19890,17749,19031,19446,21371,13937,10603,14408,11976,12501,12708,17913,2023,931743.27,0
